timestamp,voltage_V,current_mA,power_mW
2026-06-13T16:39:56.112635,3.318,17.40,57.00
2026-06-13T16:39:56.601198,3.286,17.20,56.00
2026-06-13T16:39:57.117038,3.322,17.40,57.00
2026-06-13T16:39:57.740979,3.322,17.40,57.00
2026-06-13T16:39:58.200585,3.322,17.50,57.00
2026-06-13T16:39:58.763368,3.322,17.40,57.00
2026-06-13T16:39:59.276696,3.326,17.40,57.00
2026-06-13T16:39:59.721331,3.322,17.40,57.00
2026-06-13T16:40:00.248292,3.322,17.40,57.00
2026-06-13T16:40:00.811634,3.322,17.50,57.00
2026-06-13T16:40:01.299956,3.322,17.50,57.00
2026-06-13T16:40:01.805957,3.322,17.40,57.00
2026-06-13T16:40:02.351252,3.322,17.50,57.00
2026-06-13T16:40:02.847422,3.322,17.50,57.00
2026-06-13T16:40:03.373156,3.322,17.50,57.00
2026-06-13T16:40:03.892230,3.322,17.40,57.00
2026-06-13T16:40:04.411361,3.322,17.50,57.00
2026-06-13T16:40:04.938069,3.322,17.40,57.00
2026-06-13T16:40:05.454486,3.322,17.40,57.00
2026-06-13T16:40:05.978141,3.322,17.40,57.00
2026-06-13T16:40:06.549684,3.322,17.50,57.00
2026-06-13T16:40:07.016290,3.326,17.50,57.00
2026-06-13T16:40:07.542254,3.322,17.40,57.00
2026-06-13T16:40:08.061500,3.322,17.40,57.00
2026-06-13T16:40:08.582286,3.322,17.50,57.00
2026-06-13T16:40:09.099203,3.322,17.40,57.00
2026-06-13T16:40:09.636913,3.322,17.50,57.00
2026-06-13T16:40:10.232087,3.322,17.50,57.00
2026-06-13T16:40:10.668420,3.322,17.50,57.00
2026-06-13T16:40:11.198557,3.322,17.40,57.00
2026-06-13T16:40:11.769559,3.322,17.50,57.00
2026-06-13T16:40:12.226750,3.322,17.40,57.00
2026-06-13T16:40:12.793628,3.322,17.50,57.00
2026-06-13T16:40:13.304514,3.322,17.50,57.00
2026-06-13T16:40:13.798467,3.322,17.40,57.00
2026-06-13T16:40:14.316420,3.322,17.40,57.00
2026-06-13T16:40:14.840823,3.322,17.50,57.00
2026-06-13T16:40:15.354120,3.322,17.50,57.00
2026-06-13T16:40:15.873676,3.326,17.50,57.00
2026-06-13T16:40:16.396601,3.322,17.40,57.00
2026-06-13T16:40:16.992476,3.322,17.50,57.00
2026-06-13T16:40:17.454989,3.322,17.50,57.00
2026-06-13T16:40:18.015271,3.322,17.50,57.00
2026-06-13T16:40:18.528290,3.326,17.40,57.00
2026-06-13T16:40:19.040063,3.322,17.40,57.00
2026-06-13T16:40:19.528226,3.322,17.40,57.00
2026-06-13T16:40:20.043519,3.322,17.50,57.00
2026-06-13T16:40:20.562180,3.294,17.40,57.00
2026-06-13T16:40:21.189324,3.322,17.50,57.00
2026-06-13T16:40:21.702742,3.322,17.50,57.00
2026-06-13T16:40:22.128641,3.322,17.50,57.00
2026-06-13T16:40:22.730371,3.326,17.40,57.00
2026-06-13T16:40:23.237484,3.322,17.40,57.00
2026-06-13T16:40:23.688414,3.326,17.50,57.00
2026-06-13T16:40:24.210172,3.322,17.40,57.00
2026-06-13T16:40:24.729888,3.322,17.40,57.00
2026-06-13T16:40:25.250144,3.322,17.40,57.00
2026-06-13T16:40:25.771577,3.322,17.40,57.00
2026-06-13T16:40:26.310733,3.286,17.20,57.00
2026-06-13T16:40:26.925296,3.318,17.40,57.00
2026-06-13T16:40:27.355429,3.322,17.40,57.00
2026-06-13T16:40:27.949554,3.326,17.40,57.00
2026-06-13T16:40:28.375897,3.322,17.40,57.00
2026-06-13T16:40:28.973646,3.322,17.50,57.00
2026-06-13T16:40:29.485597,3.322,17.50,57.00
2026-06-13T16:40:29.997405,3.322,17.50,57.00
2026-06-13T16:40:30.508347,3.322,17.50,57.00
2026-06-13T16:40:30.982262,3.322,17.50,57.00
2026-06-13T16:40:31.502000,3.326,17.50,57.00
2026-06-13T16:40:32.045654,3.322,17.30,57.00
2026-06-13T16:40:32.544422,3.326,17.50,57.00
2026-06-13T16:40:33.175326,3.322,17.50,57.00
2026-06-13T16:40:33.682309,3.326,17.50,57.00
2026-06-13T16:40:34.197986,3.322,17.40,57.00
2026-06-13T16:40:34.628116,3.322,17.40,57.00
2026-06-13T16:40:35.221863,3.326,17.40,57.00
2026-06-13T16:40:35.674427,3.322,17.50,57.00
2026-06-13T16:40:36.244945,3.322,17.50,57.00
2026-06-13T16:40:36.754228,3.322,17.40,57.00
2026-06-13T16:40:37.235690,3.322,17.40,57.00
2026-06-13T16:40:37.755056,3.322,17.50,57.00
2026-06-13T16:40:38.280862,3.318,17.40,57.00
2026-06-13T16:40:38.906729,3.322,17.50,57.00
2026-06-13T16:40:39.320194,3.322,17.50,57.00
2026-06-13T16:40:39.837246,3.322,17.50,57.00
2026-06-13T16:40:40.357893,3.322,17.50,57.00
2026-06-13T16:40:40.953617,3.322,17.40,57.00
2026-06-13T16:40:41.400084,3.322,17.50,57.00
2026-06-13T16:40:41.979899,3.326,17.50,57.00
2026-06-13T16:40:42.441836,3.322,17.40,57.00
2026-06-13T16:40:42.965709,3.326,17.40,57.00
2026-06-13T16:40:43.503420,3.326,17.50,57.00
2026-06-13T16:40:44.005847,3.322,17.50,57.00
2026-06-13T16:40:44.527327,3.294,17.30,56.00
2026-06-13T16:40:45.048992,3.322,17.40,57.00
2026-06-13T16:40:45.662803,3.322,17.50,57.00
2026-06-13T16:40:46.124270,3.322,17.40,57.00
2026-06-13T16:40:46.630749,3.322,17.40,57.00
2026-06-13T16:40:47.200675,3.322,17.40,57.00
2026-06-13T16:40:47.655632,3.322,17.50,57.00
2026-06-13T16:40:48.224550,3.322,17.40,57.00
2026-06-13T16:40:48.694684,3.322,17.40,57.00
2026-06-13T16:40:49.216451,3.326,17.40,57.00
2026-06-13T16:40:49.738586,3.322,17.40,57.00
2026-06-13T16:40:50.273156,3.290,17.50,57.00
2026-06-13T16:40:50.785272,3.326,17.50,57.00
2026-06-13T16:40:51.399252,3.326,17.40,57.00
2026-06-13T16:40:51.821326,3.326,17.50,57.00
2026-06-13T16:40:52.371418,3.326,17.50,57.00
2026-06-13T16:40:52.865513,3.326,17.40,57.00
2026-06-13T16:40:53.447240,3.322,17.50,57.00
2026-06-13T16:40:53.907761,3.322,17.40,57.00
2026-06-13T16:40:54.426785,3.326,17.50,57.00
2026-06-13T16:40:54.946913,3.322,17.50,57.00
2026-06-13T16:40:55.495008,3.322,17.40,57.00
2026-06-13T16:40:56.000562,3.286,17.20,57.00
2026-06-13T16:40:56.516493,3.322,17.50,57.00
2026-06-13T16:40:57.133097,3.322,17.50,57.00
2026-06-13T16:40:57.645107,3.322,17.50,57.00
2026-06-13T16:40:58.155944,3.322,17.40,57.00
2026-06-13T16:40:58.669326,3.322,17.40,57.00
2026-06-13T16:40:59.154488,3.322,17.40,57.00
2026-06-13T16:40:59.646077,3.322,17.50,57.00
2026-06-13T16:41:00.209401,3.322,17.40,57.00
2026-06-13T16:41:00.680707,3.326,17.40,57.00
2026-06-13T16:41:01.228206,3.322,17.50,57.00
2026-06-13T16:41:01.800492,3.326,17.30,57.00
2026-06-13T16:41:02.244097,3.326,17.40,57.00
2026-06-13T16:41:02.761264,3.322,17.40,57.00
2026-06-13T16:41:03.282644,3.322,17.40,57.00
2026-06-13T16:41:03.895345,3.322,17.40,57.00
